"continent","country"
"Oceania","Solomon Islands"
"Oceania","Fiji"
"North America","Mexico"
"North America","Taiwan"
"Asia","Papua New Guinea"
"Asia","People's Republic of China"
"Oceania","Philippines"
"Asia","Brazil"
"Asia","Peru"
"South America","Argentina"
"South America","Indonesia"
"South America","United States of America"
"Asia","Vanuatu"
"Asia","Haiti"
"South America","Japan"
"Asia","Mongolia"
"Asia","Greece"
"South America","Chile"
"North America","Russia"
"North America","Turkey"
"Oceania","Ecuador"
"North America","Bolivia"
"Asia","Iran"
"Asia","Botswana"
"Asia","Italy"
"Asia","Myanmar"
"Asia","Afghanistan"
"Europe","India"
"North America","Tajikistan"
"North America","Nepal"
"South America","Pakistan"
"North America","Colombia"
"North America","Canada"
"Asia","Kyrgyzstan"
"Asia","Mozambique"
"North America","Tanzania"
"South America",""
"South America",""
"South America",""
"South America",""
"South America",""
"North America",""
"Asia",""
"South America",""
"North America",""
"South America",""
"North America",""
"Asia",""
"North America",""
"Asia",""
"Asia",""
"Africa",""
"Asia",""
"South America",""
"South America",""
"Asia",""
"Europe",""
"Asia",""
"South America",""
"South America",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"North America",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"South America",""
"South America",""
"Europe",""
"South America",""
"Asia",""
"South America",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"South America",""
"North America",""
"Europe",""
"North America",""
"Asia",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"Asia",""
"South America",""
"Asia",""
"North America",""
"South America",""
"South America",""
"North America",""
"North America",""
"South America",""
"North America",""
"Asia",""
"Asia",""
"North America",""
"South America",""
"Asia",""
"Asia",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"Asia",""
"South America",""
"Asia",""
"South America",""
"South America",""
"Asia",""
"North America",""
"South America",""
"South America",""
"South America",""
"South America",""
"North America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"South America",""
"South America",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"Africa",""
"Europe",""
"Asia",""
"Africa",""
"South America",""
"Asia",""
"South America",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"Asia",""
"South America",""
"Asia",""
"Asia",""
"North America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"South America",""
"Asia",""
"Asia",""
"North America",""
"North America",""
"North America",""
"Asia",""
"South America",""
"South America",""
"South America",""
"Asia",""
"Asia",""
"Asia",""
"Asia",""
"North America",""
"Europe",""
"Asia",""
"North America",""
"Asia",""
